open,high,low,close,volume,date,symbol,historyType
3523.01,3543.6,3495.01,3523.16,2262683,2021-12-08,AMZN,DAILY
3492.0,3549.99,3466.69,3523.29,3320536,2021-12-07,AMZN,DAILY
3393.0,3473.91,3338.69,3427.37,3443000,2021-12-06,AMZN,DAILY
3455.0,3469.865,3338.6,3389.79,4035550,2021-12-03,AMZN,DAILY
3460.0,3492.7,3423.75,3437.36,3236288,2021-12-02,AMZN,DAILY
3545.0,3559.88,3441.6,3443.72,3756995,2021-12-01,AMZN,DAILY
3563.5,3585.77,3492.01,3507.07,4001107,2021-11-30,AMZN,DAILY
3547.6443,3596.0,3531.5001,3561.57,3265557,2021-11-29,AMZN,DAILY
3602.095,3633.5,3504.15,3504.56,2991297,2021-11-26,AMZN,DAILY
3562.67,3613.64,3536.85,3580.41,2328018,2021-11-24,AMZN,DAILY
3585.04,3621.05,3527.71,3580.04,3692246,2021-11-23,AMZN,DAILY
3676.3768,3713.455,3567.5,3572.57,4847850,2021-11-22,AMZN,DAILY
3712.69,3762.145,3675.72,3676.57,4946203,2021-11-19,AMZN,DAILY
3566.35,3704.2,3561.0,3696.06,5703538,2021-11-18,AMZN,DAILY
3564.72,3587.245,3545.35,3549.0,2560270,2021-11-17,AMZN,DAILY
3539.0,3576.5,3525.1466,3540.7,2217071,2021-11-16,AMZN,DAILY
3537.0,3593.88,3525.81,3545.68,2929719,2021-11-15,AMZN,DAILY
3485.0,3540.7262,3447.05,3525.15,2636157,2021-11-12,AMZN,DAILY
3513.0,3543.24,3467.47,3472.5,2264406,2021-11-11,AMZN,DAILY
3563.87,3605.45,3463.09,3482.05,4027422,2021-11-10,AMZN,DAILY
3515.25,3593.77,3501.425,3576.23,4257658,2021-11-09,AMZN,DAILY
3523.24,3579.0,3487.86,3488.98,3073992,2021-11-08,AMZN,DAILY
3477.0,3566.25,3476.98,3518.99,4996951,2021-11-05,AMZN,DAILY
3370.0,3498.625,3365.0001,3477.0,5353020,2021-11-04,AMZN,DAILY
3309.0,3394.92,3297.52,3384.0,3397189,2021-11-03,AMZN,DAILY
3315.01,3331.115,3283.55,3312.75,2562277,2021-11-02,AMZN,DAILY
3361.8,3375.86,3292.02,3318.11,3582044,2021-11-01,AMZN,DAILY
3300.02,3374.82,3273.32,3372.43,6486077,2021-10-29,AMZN,DAILY
3402.095,3479.0,3386.0,3446.57,5708733,2021-10-28,AMZN,DAILY
3388.0,3437.0,3371.4534,3392.49,2702224,2021-10-27,AMZN,DAILY
3349.51,3416.12,3343.98,3376.07,2698342,2021-10-26,AMZN,DAILY
3335.0,3347.7997,3297.7,3320.37,2225956,2021-10-25,AMZN,DAILY
3421.0,3429.84,3331.3,3335.55,3139053,2021-10-22,AMZN,DAILY
3414.25,3440.28,3403.0,3435.01,1881385,2021-10-21,AMZN,DAILY
3452.66,3462.86,3400.37,3415.06,2139777,2021-10-20,AMZN,DAILY
3434.29,3454.69,3422.0,3444.15,2386079,2021-10-19,AMZN,DAILY
197.53,207.79,197.2,207.46,169650598,2023-03-31,TSLA,DAILY
195.58,197.33,194.42,195.28,110252238,2023-03-30,TSLA,DAILY
193.13,195.29,189.44,193.88,123660026,2023-03-29,TSLA,DAILY
192.0,192.35,185.43,189.19,98654635,2023-03-28,TSLA,DAILY
194.415,197.39,189.94,191.81,120851587,2023-03-27,TSLA,DAILY
191.65,192.36,187.15,190.41,116531584,2023-03-24,TSLA,DAILY
195.26,199.31,188.65,192.22,144193876,2023-03-23,TSLA,DAILY
199.3,200.66,190.95,191.15,150376373,2023-03-22,TSLA,DAILY
188.28,198.0,188.04,197.58,153391444,2023-03-21,TSLA,DAILY
178.08,186.44,176.35,183.25,129684359,2023-03-20,TSLA,DAILY
184.515,186.2199,177.33,180.13,133197140,2023-03-17,TSLA,DAILY
180.365,185.81,178.84,184.13,121374453,2023-03-16,TSLA,DAILY
180.8,182.34,176.03,180.45,145995583,2023-03-15,TSLA,DAILY
177.31,183.8,177.1401,183.26,143717897,2023-03-14,TSLA,DAILY
167.455,177.35,163.91,174.48,167790256,2023-03-13,TSLA,DAILY
175.13,178.29,168.44,173.44,191488872,2023-03-10,TSLA,DAILY
180.25,185.18,172.5124,172.92,170023794,2023-03-09,TSLA,DAILY
185.04,186.5,180.0,182.0,151897763,2023-03-08,TSLA,DAILY
191.38,194.2,186.1,187.71,148125790,2023-03-07,TSLA,DAILY
198.54,198.6,192.3,193.81,128100106,2023-03-06,TSLA,DAILY
194.795,200.48,192.88,197.79,154193277,2023-03-03,TSLA,DAILY
186.74,193.7499,186.01,190.9,181979154,2023-03-02,TSLA,DAILY
206.21,207.2,198.52,202.77,156852790,2023-03-01,TSLA,DAILY
210.59,211.23,203.75,205.71,153144912,2023-02-28,TSLA,DAILY
202.03,209.42,201.26,207.63,161028315,2023-02-27,TSLA,DAILY
196.325,197.6695,192.8,196.88,142228105,2023-02-24,TSLA,DAILY
203.91,205.14,196.33,202.07,146359950,2023-02-23,TSLA,DAILY
197.93,201.99,191.78,200.86,191828457,2023-02-22,TSLA,DAILY
204.99,209.71,197.22,197.37,180018588,2023-02-21,TSLA,DAILY
199.985,208.44,197.5,208.31,213738549,2023-02-17,TSLA,DAILY
210.78,217.65,201.84,202.04,229586538,2023-02-16,TSLA,DAILY
211.755,214.66,206.11,214.24,182108581,2023-02-15,TSLA,DAILY
